gene_id,Chr,Product,Name,wt_TPM,lim_TPM
BBFGCJEA_00646,ec_contig_7,Cryptic beta-glucoside bgl operon antiterminator,bglG,2.25942,0.0894248
BBFGCJEA_00647,ec_contig_7,PTS system beta-glucoside-specific EIIBCA component,bglF,5.37498,0.278988
BBFGCJEA_00648,ec_contig_7,6-phospho-beta-glucosidase BglB,bglB,0.747407,0.0794571
BBFGCJEA_00649,ec_contig_7,Cryptic outer membrane porin BglH,bglH_1,1.48849,0.32402
BBFGCJEA_00650,ec_contig_7,Carbohydrate acetyl esterase/feruloyl esterase,axe1-6A,1.36445,0.255892
BBFGCJEA_00651,ec_contig_7,Glucosamine-6-phosphate deaminase 2,gamA,2.17406,0.258812
BBFGCJEA_00652,ec_contig_7,hypothetical protein,,15.7469,4.13704
BBFGCJEA_00653,ec_contig_7,Inner membrane protein CbrB,cbrB,14.4842,1.83923
BBFGCJEA_00654,ec_contig_7,6-phosphogluconate phosphatase,yieH,13.4601,2.07913
BBFGCJEA_00655,ec_contig_7,Adenine permease AdeP,adeP,87.0802,4.53119
BBFGCJEA_00656,ec_contig_7,Quinone reductase,chrR,31.3607,3.2342
BBFGCJEA_00657,ec_contig_7,hypothetical protein,,22.0059,3.69253
BBFGCJEA_00658,ec_contig_7,HTH-type transcriptional regulator YidZ,yidZ,12.6894,2.45597
BBFGCJEA_00659,ec_contig_7,Multidrug resistance protein MdtL,mdtL,3.98893,0.222764
BBFGCJEA_00660,ec_contig_7,Low affinity tryptophan permease,tnaB,1.59405,0.149937
BBFGCJEA_00661,ec_contig_7,Tryptophanase,tnaA,3.88522,0.845746
BBFGCJEA_00662,ec_contig_7,tRNA modification GTPase MnmE,mnmE,24.0204,2.16595
BBFGCJEA_00663,ec_contig_7,Membrane protein insertase YidC,yidC,110.498,3.45385
BBFGCJEA_00664,ec_contig_7,Ribonuclease P protein component,rnpA,109.356,1.71671
BBFGCJEA_00665,ec_contig_7,Large ribosomal subunit protein bL34,rpmH,1563.66,83.8728
BBFGCJEA_00666,ec_contig_7,Chromosomal replication initiator protein DnaA,dnaA,55.9775,5.51768
BBFGCJEA_00667,ec_contig_7,Beta sliding clamp,dnaN,61.1884,4.45284
BBFGCJEA_00668,ec_contig_7,DNA replication and repair protein RecF,recF,30.1399,1.39383
BBFGCJEA_00669,ec_contig_7,DNA topoisomerase (ATP-hydrolyzing) subunit B GyrB,gyrB,70.3345,5.67175
BBFGCJEA_00670,ec_contig_7,hypothetical protein,,17.9738,7.87879
BBFGCJEA_00671,ec_contig_7,Sugar phosphatase YidA,yidA,42.0211,4.64926
BBFGCJEA_00672,ec_contig_7,hypothetical protein,,16.2239,2.56331
BBFGCJEA_00673,ec_contig_7,Galactonate operon transcriptional repressor,dgoR_2,5.09,0.325428
BBFGCJEA_00674,ec_contig_7,2-dehydro-3-deoxygalactonokinase,dgoK,5.50438,0.681215
BBFGCJEA_00675,ec_contig_7,2-dehydro-3-deoxy-6-phosphogalactonate aldolase,dgoA,1.51017,0.242228
BBFGCJEA_00676,ec_contig_7,D-galactonate dehydratase,dgoD,1.75277,0.293141
BBFGCJEA_00677,ec_contig_7,D-galactonate transporter,dgoT,1.31063,0.260494
BBFGCJEA_00678,ec_contig_7,Protein CbrA,cbrA,1.9602,0.245981
BBFGCJEA_00679,ec_contig_7,hypothetical protein,,16.8586,1.7249
BBFGCJEA_00680,ec_contig_7,hypothetical protein,,62.7648,8.31651
BBFGCJEA_00681,ec_contig_7,Small heat shock protein IbpA,ibpA,6.1697,4.33905
BBFGCJEA_00682,ec_contig_7,Small heat shock protein IbpB,ibpB,36.0673,12.7365
BBFGCJEA_00683,ec_contig_7,Aspartate/alanine antiporter,aspT_1,9.38369,0.517905
