gene_id,Chr,Reads,TPM,Name,Product
BBFGCJEA_02615,ec_contig_16,331,10.4223,fetB,putative iron export permease protein FetB
BBFGCJEA_02616,ec_contig_16,274,9.92548,fetA,putative iron export ATP-binding protein FetA
BBFGCJEA_02617,ec_contig_16,257,6.87577,qmcA,Protein QmcA
BBFGCJEA_02618,ec_contig_16,392,20.9751,ybbJ,Inner membrane protein YbbJ
BBFGCJEA_02619,ec_contig_16,237,14.2666,cueR,HTH-type transcriptional regulator CueR
BBFGCJEA_02620,ec_contig_16,333,6.32523,ybaT,Inner membrane transport protein YbaT
BBFGCJEA_02621,ec_contig_16,54,1.42149,glsA1,Glutaminase 1
BBFGCJEA_02622,ec_contig_16,9344,91.6127,copA,Copper-exporting P-type ATPase
BBFGCJEA_02623,ec_contig_16,770,47.7558,ybaQ,putative HTH-type transcriptional regulator YbaQ
BBFGCJEA_02624,ec_contig_16,406,12.5427,,hypothetical protein
BBFGCJEA_02625,ec_contig_16,337,17.2433,ybaK,Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK
BBFGCJEA_02626,ec_contig_16,673,9.99938,ushA,Protein UshA
BBFGCJEA_02627,ec_contig_16,208,4.18387,fsr,Fosmidomycin resistance protein
BBFGCJEA_02628,ec_contig_16,1390,20.3569,ybaL,Putative cation/proton antiporter YbaL
BBFGCJEA_02629,ec_contig_16,2400,45.1681,gsk,Guanosine-inosine kinase
BBFGCJEA_02630,ec_contig_16,251,6.42145,aes,Acetyl esterase
BBFGCJEA_02631,ec_contig_16,553,14.1036,hemH,Ferrochelatase
BBFGCJEA_02632,ec_contig_16,5896,224.506,adk,Adenylate kinase
BBFGCJEA_02633,ec_contig_16,1620,21.22,htpG,Chaperone protein HtpG
BBFGCJEA_02634,ec_contig_16,5161,209.166,recR,Recombination protein RecR
BBFGCJEA_02635,ec_contig_16,3222,239.796,ybaB,Nucleoid-associated protein YbaB
BBFGCJEA_02636,ec_contig_16,3896,49.5271,dnaX,DNA polymerase III subunit tau
BBFGCJEA_02637,ec_contig_16,1375,61.1779,apt,Adenine phosphoribosyltransferase
BBFGCJEA_02638,ec_contig_16,746,48.4705,ybaN,Inner membrane protein YbaN
BBFGCJEA_02639,ec_contig_16,166,7.72156,priC,Replication restart protein PriC
BBFGCJEA_02640,ec_contig_16,165,25.015,,hypothetical protein
BBFGCJEA_02641,ec_contig_16,3261,23.8152,mscK,Mechanosensitive channel MscK
BBFGCJEA_02642,ec_contig_16,1205,45.6712,acrR_1,HTH-type transcriptional regulator AcrR
BBFGCJEA_02643,ec_contig_16,1947,40.0491,acrA,Multidrug efflux pump subunit AcrA
BBFGCJEA_02644,ec_contig_16,6776,52.8316,acrB_2,multidrug efflux RND transporter permease subunit AcrB
