gene_id,Chr,Reads,TPM,Name,Product
BBFGCJEA_01027,ec_contig_11,3648,928.733,,hypothetical protein
BBFGCJEA_00713,ec_contig_7,2327,916.698,,
BBFGCJEA_01305,ec_contig_16,5973,897.732,,hypothetical protein
BBFGCJEA_04337,ec_contig_18,1757,865.19,,
BBFGCJEA_02358,ec_contig_16,1728,850.91,,
BBFGCJEA_03928,ec_contig_18,1743,847.149,,
BBFGCJEA_03929,ec_contig_18,1700,826.25,,
BBFGCJEA_02435,ec_contig_16,1813,798.238,,
BBFGCJEA_04142,ec_contig_18,7167,784.268,raiA,Ribosome-associated inhibitor A
IEOEGPMD_05582,pa_contig_19,1502,730.016,,
BBFGCJEA_00235,ec_contig_4,1355,667.235,,
BBFGCJEA_03362,ec_contig_17,1349,664.281,,
KHPLLONG_03310,cn_contig_1,959,472.235,,
BBFGCJEA_02152,ec_contig_16,2103,468.472,rmf,Ribosome modulation factor
IEOEGPMD_03584,pa_contig_19,942,457.84,,
BBFGCJEA_04052,ec_contig_18,865,449.611,,
KHPLLONG_03313,cn_contig_1,871,428.902,,
BBFGCJEA_03887,ec_contig_17,1901,408.871,,hypothetical protein
KHPLLONG_02979,cn_contig_1,835,405.835,,
BBFGCJEA_02525,ec_contig_16,2625,389.836,,hypothetical protein
KHPLLONG_05997,cn_contig_1,785,381.533,,
BBFGCJEA_03684,ec_contig_17,1160,371.044,rpmJ,Large ribosomal subunit protein bL36A
BBFGCJEA_01382,ec_contig_16,4166,358.413,infC,Translation initiation factor IF-3
BBFGCJEA_00460,ec_contig_7,7995,331.348,fieF,Cation-efflux pump FieF
BBFGCJEA_01276,ec_contig_16,1707,304.206,cspC,Cold shock-like protein CspC
BBFGCJEA_00220,ec_contig_4,1159,295.066,,hypothetical protein
BBFGCJEA_03309,ec_contig_17,2556,289.868,zapA,Cell division protein ZapA
BBFGCJEA_00698,ec_contig_7,740,279.737,,hypothetical protein
BBFGCJEA_01384,ec_contig_16,2650,277.799,rplT,Large ribosomal subunit protein bL20
BBFGCJEA_01996,ec_contig_16,1891,274.3,bhsA_1,Multiple stress resistance protein BhsA
IEOEGPMD_02455,pa_contig_19,612,266.322,,
BBFGCJEA_03003,ec_contig_16,6170,251.534,lpxC,UDP-3-O-acyl-N-acetylglucosamine deacetylase
IEOEGPMD_01861,pa_contig_19,506,249.167,,
